,PID,band,EEG1,EEG2,EEG3,EEG4,EEG5,EEG6,EEG7,EEG8,EEG9,EEG10,EEG11,EEG12,EEG13,EEG14,EEG15,EEG16,EEG17,EEG18,EEG19,EEG20,EEG21,EEG22,EEG23,EEG24,EEG25,EEG26,EEG27,EEG28,EEG29,EEG30,EEG31,EEG32,EEG33,EEG34,EEG35,EEG36,EEG37,EEG38,EEG39,EEG40,EEG41,EEG42,EEG43,EEG44,EEG45,EEG46,EEG47,EEG48,EEG49,EEG50,EEG51,EEG52,EEG53,EEG54,EEG55,EEG56,EEG57,EEG58,EEG59,EEG60,EEG61,EEG62,EEG63,EEG64,EEG65,EEG66,EEG67,EEG68,EEG69,EEG70,EEG71,EEG72,EEG73,EEG74,EEG75,EEG76,EEG77,EEG78,EEG79,EEG80,EEG81,EEG82,EEG83,EEG84,EEG85,EEG86,EEG87,EEG88,EEG89,EEG90,EEG91,EEG92,EEG93,EEG94,EEG95,EEG96,EEG97,EEG98,EEG99,EEG100,EEG101,EEG102,EEG103,EEG104,EEG105,EEG106,EEG107,EEG108,EEG109,EEG110,EEG111,EEG112,EEG113,EEG114,EEG115,EEG116,EEG117,EEG118,EEG119,EEG120,EEG121,EEG122,EEG123,EEG124,EEG125,EEG126,EEG127,EEG128
0,3001,alpha,10.679958729816155,10.601994524655884,10.615481594533888,10.802018456234013,10.768969493801976,10.69869966527882,10.65033256022329,10.62635043241908,10.62430381957568,10.749225538647234,10.881230098210322,10.884947403963656,10.713223404340413,10.684244871313346,10.698739072313522,10.7558492237175,10.657718748331597,10.639007523537076,10.837149230559234,10.8353825067999,10.57171464935711,10.70627853459298,10.609014060059772,10.76515706694126,10.597187770450878,10.661011600546702,10.766425887358812,10.820591175588548,10.873103371534564,10.89056655649602,10.749361330066751,10.60189354689158,10.711228539707887,10.798890457262264,10.90371062554518,10.562113791336849,10.54771618521655,10.649846798846104,10.741841540844176,10.958180588001248,11.11107765554937,10.71343839409255,10.685503141046649,10.916068487270309,11.053364676737154,11.071232782081143,11.217882451677678,10.70660608991196,10.868197987141947,10.924904748366426,10.962940053691137,10.82140217245595,10.731659744562595,10.743458460313771,10.750073047766666,10.92514435632968,10.911026309034892,10.903949372390407,10.894076272061326,10.79521617203234,10.69230969060412,10.747342610894394,10.958854963075996,10.975357514198535,10.688860946555232,10.74285543435636,10.727207046246145,10.964472152074704,10.977258928755743,10.524939050862592,10.632910023790837,10.69663235555877,10.928918810333764,10.806128007264538,10.681816679976777,10.729006587100098,10.771827120311944,10.834076390297591,10.836247310770908,10.778299692490428,10.871362690996175,10.80625698869778,10.779523026064409,10.812885392864343,10.8173847366696,10.851117051524856,10.941119160568402,10.85066334850049,10.829476183137556,10.828751194914656,10.884708602787535,10.83800004405682,10.867429814538465,10.833318212633223,10.83250717344323,10.885961861546486,10.857935924056664,10.834389833414308,10.91161116209536,10.86600622796785,10.834048331828694,10.669617873565423,10.65596520124677,10.497204739813323,10.591018556806985,10.605256555993948,10.78213864367666,10.682501740461548,10.696995766427786,10.85874010602446,10.609127979157902,10.649940179678392,10.590397122163331,10.642282335995578,10.71390765304482,10.70624589484394,10.607891239307758,10.729278380736432,10.840656493162516,10.687445698312295,10.655029144758243,10.603580184742713,10.6684899603359,10.685389848401885,10.613812687100864,10.65158181818378,10.599267255657953,10.56788755940436
1,3001,theta,,,,,7.123534722050045,,7.060651522701836,,,5.966264521995987,5.939545143274398,,7.526480809091156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.06835878814117,,,,,,,,,,,7.256768617139754,5.93794232009838,,,,,,,,,,,,,,,,,,,,,,,,7.305991100494513,,,,,,,5.318555568027693,,,,,,6.243734296401178,,,,,,,,,,,,,7.123278167609635,,,,,,7.173626876832845,,,,,,,,,,,,,,,,7.436170668633088
2,3003,alpha,9.664588398918076,8.701777633106403,8.610919006748999,8.75051694275566,9.462631431741526,9.978899498537176,8.596148763628731,9.95276890584478,8.60643428055677,8.564047694795834,8.44963890940324,8.777755527310498,9.822360655012265,10.021986959118204,8.255808118362944,10.39115936803289,10.107962322295265,10.090545202455644,8.695516376089914,9.876817674073417,10.247467107871463,9.981162477794078,10.461577302756451,9.732124821711055,10.50572797035418,9.675262527997829,10.092072439359027,9.952343070818069,8.92347385675381,10.955728566575052,11.020629497919389,9.977953862301554,10.16256690479696,9.404402476460232,8.723789104758003,9.517863113485989,10.981835138021417,10.57716135648812,9.418247494827554,9.909817927558311,10.587068851309132,10.765326293213828,10.145950566394278,11.687361803256378,10.814854541798638,10.703957955776694,10.71298893945402,11.563613525165296,13.041490149911612,10.922092772537948,10.874033734759982,10.962486518057354,10.977399266336182,10.91945103151051,9.127621614650057,10.8598146478687,10.885667596205291,10.786447144966615,10.81269693903283,10.772278401828034,11.105523483649566,10.160231353530818,10.79485598730048,10.799395039672874,9.76025239003352,10.938361533349832,10.064208134460582,9.788108112645736,9.772921453860553,10.544546490892213,10.144511718500404,9.764572986550936,9.848676593824196,10.113778896380882,9.999099837432732,9.93627453809325,10.161871265892122,10.719582681322589,9.56780511212562,9.391797640773095,9.786577619855608,9.997917896881358,9.512703166787055,9.815011435789357,10.609681114806309,9.138748943426844,9.936731673880155,9.24739731698258,9.91889295231983,9.007677423677595,8.957346970789775,10.10403059793936,9.96608303545198,8.79734665737574,9.514217865387131,9.560123390212846,9.34874282005308,8.431945800758523,8.871999539435837,8.624964674524138,8.914178946268997,8.549497715196281,8.669233428606264,10.204376899250148,10.285942410868754,9.401459434879436,8.711270829010875,,8.977303872981407,9.251606453288511,9.985177951048598,9.60297721132707,9.945069543815238,9.96731462979359,9.41350262752519,10.12105256031962,8.894994274791445,9.241016597143828,9.302374862135451,9.75052585273133,9.74705211772532,10.406170142447634,10.125344624829204,8.729942711891457,8.865855290767286,10.658742496611756,10.416941118975696,9.858825707439337
3,3003,theta,4.224147998774787,,7.54661907217381,7.368392200717896,7.423735030002444,7.731065961767866,5.344657360727407,,7.660783856447353,7.481238240834524,7.380721534139442,7.174289759662221,5.1472975579243725,,7.701082551923244,7.617838627362664,,7.782270519627961,,7.771297135691412,,4.998860952695251,4.922437936258187,4.885275761319603,5.067194872909051,4.913787960672894,4.904870116577828,4.813499265827537,4.925391778317094,,,5.05885013406292,5.348024718022078,5.41510796561338,4.920162046820602,4.87245956878026,,6.757754289204111,7.630884830621287,,7.7216978273165395,,7.008736597853026,7.398689673732756,,,,7.46285702144416,7.664894304113514,,,,,,,,,,,,,4.492325928780786,,,,,4.559366877375294,4.270723705508807,,4.585686187860064,4.596951967999156,4.571646248154456,4.697028434005945,4.702540180690908,4.661315508741771,4.822910693574366,4.758181035778427,5.015314083031101,5.127655730483105,,4.794087125666725,4.749617380323529,4.963528141299811,5.438544538791366,,7.6993777982891265,,4.972357096313346,,,7.67705713600512,7.5102685838837235,7.395439681095328,,,,7.682303378002303,,,7.590973484765054,7.563885562057253,7.702905093143604,7.336693143521063,7.15033838763691,6.896074611031675,7.312728019068325,4.467146931349265,4.135899341192558,7.290955813535019,7.287307782001847,7.196583851464624,7.192032662255016,,,4.222232513684526,5.457395854417993,7.412663566916027,7.420164274591943,,4.27755573682236,4.2149834323284825,3.988250044647814,7.736375720511651,7.450375493008103,,5.957863920575993,6.035637111415069,
4,3004,alpha,10.009816234473108,8.649293489845562,9.32909454724376,9.127625808717124,10.871677053139903,,,9.56445263699737,10.381316222841932,9.814542345649915,9.301232388718276,,,10.314200307058035,10.561161965951325,10.373593180507347,10.4971651998096,9.277766936967849,11.034072128867653,8.354368607962535,10.47007467578686,10.478035665245692,9.447325047369608,10.678578478648271,10.554175638636636,9.151411892246555,10.891206220133032,10.332233513947813,12.411241867622309,,,,,8.335764379603189,12.68675651589096,12.642351768891862,12.140411568897134,,,12.433787365328714,12.502392103761442,12.033141992274642,,,12.37181545439009,12.41406680983907,9.194271043307817,,8.60726848825126,8.691771385911892,9.523762446609515,8.928331374420136,11.916616772277862,11.38689337079348,11.351075233877555,12.093353964268529,8.894405850899172,11.975148949723764,9.074448531284364,10.049042715940782,11.086747417976252,11.33531252623288,12.123888500305126,9.04039613549603,10.527350468406906,10.481481555865898,10.258005124644525,9.807975178891088,10.394973753407012,10.462599550425386,10.593591565814789,10.758912099813124,10.336630110541304,10.545501427086457,10.403113917979171,10.96427817868439,11.574226319489028,11.976669452362106,12.493899719439405,13.188148272599468,10.322968819365476,10.89898043473254,12.075186323225548,11.995382484320702,11.31702039081369,11.991985729956108,11.773231456355772,10.21128145393599,10.7892900198806,11.933449573640951,11.80789653850388,13.4264255931052,12.51079259755679,10.681141700155852,10.999548521431722,12.075489348332502,11.621887076596108,11.871268111043452,10.563459554065563,12.737309032321544,10.11810097727455,12.764102976734458,13.34588664766423,12.562864884757326,12.12656136295428,10.977696552525105,,9.050680463071396,12.461085360846557,12.499999999999964,8.233253808518683,10.856435870118023,8.555027014250507,10.81916171024648,8.536113544810293,8.980546159869919,,9.146064511481915,,,,8.595457479272346,8.351691765392928,8.764123704371828,,,,
5,3004,theta,6.599892850893201,,6.805034123408982,,7.241331962741058,7.053150278098848,7.051789718957562,6.457138898593716,6.19758562670016,6.423449206685932,7.291993048365432,7.006953156167312,5.6057756310219125,6.192567252703857,,,6.1701608966206205,5.4885725634560805,7.105549420046007,6.851764918810302,,,7.280048212057523,7.094880503328805,6.3064656685861085,7.323087922714095,7.033640583270432,6.726352580586637,7.17265720333623,7.1232909755866745,7.32959936019499,6.31512420403413,5.582491373129352,6.5489156044831205,7.272393111821301,7.288919634410404,7.337823080613886,6.3721137450516405,5.441422965241109,7.109196351419309,7.217071835214792,5.432543465492192,6.951770690574175,6.35742360906775,7.011755935078111,7.224549834488466,4.536750045653935,7.19628102702901,7.224828838642331,7.275628162460226,6.628220832457067,7.298219299866669,7.304981660092999,7.621982547349697,,7.073650914321276,7.207965943743618,7.238297598582005,6.840662417769425,7.374021230351414,7.469637851620639,7.30252421980833,7.151945393255289,7.055892503857092,7.703990955716286,,7.270778517351677,7.558499908617913,,,,7.109319067746792,,,,7.200892074011757,7.1744663157061845,6.560976036189929,4.416367925746123,7.091841751977379,,3.6620326215323766,7.003421604036689,,7.395606948309543,7.54792861053654,7.256645485165872,,,7.549546206460157,7.628664007606791,5.703377317157555,4.8401048041891865,4.178739610590188,7.515376450328836,4.546095835538773,,4.955595455351186,,4.920427564116654,7.164700128191879,7.790062545477828,,,7.228754110719104,7.084512450682728,6.733428002171777,7.109658035504381,7.717517345695616,3.6300708446542527,,7.188538393723349,7.233770439437911,7.081807932493195,7.1110617050664064,,7.512770346520736,6.194222166156968,6.884513506967726,6.823409240692112,6.858655704591485,7.029510592116069,5.974638415179639,,6.77630942298275,6.939182621794177,7.20841369519938,7.055367492654504
6,3005,alpha,10.177877505119072,9.9707864890213,9.029057569806415,8.88775206790987,9.90251810553838,10.054766001563536,9.813539179919184,9.30900178349488,8.95511175302202,8.844669465816523,8.78948839898105,9.953508405070574,9.280959119203214,8.981253863606744,8.789296032985774,9.368239257924817,9.82509452329124,8.845995183463318,8.90741349279647,9.210913792756893,9.357657038611562,8.692747809855728,8.670462478761788,8.97206741020437,8.923888059533702,8.650682064262652,8.807729156599315,8.945795640654856,9.4766926484832,9.405090005494056,9.135402703165076,9.846611520096374,9.188250224099402,8.782005905807136,9.47017551411306,9.507652951152943,9.389758136351334,9.050173347949762,9.336637088292072,9.50377041770051,9.500807597882302,9.437538300025198,9.138737940265374,9.084677609263514,9.516068085211892,9.53272783075834,9.409975279161367,8.98865452142731,8.744820250013332,9.559666460682172,9.467153151471756,9.417288560928103,9.349609223482611,9.14688928516733,8.934104419912039,9.573084787770492,9.51245904351724,11.547531312080933,10.740210252097818,9.574515061747988,9.647125508417435,9.996093624796814,8.527420974489175,11.168605941567169,9.344273304847489,10.180338406978295,10.026408996555478,10.331905625205057,9.431431499765448,10.38316194441359,9.960928638702637,10.099507667480273,10.22886772782003,10.229620498885568,10.027450023103412,9.690303075846202,10.25532552381851,9.85983455454276,9.699692990048746,9.06786055733102,10.06874039809655,9.940012695137236,10.133542169828871,9.86965646835925,10.459581012323792,9.7183782840382,9.52633282548813,10.051521498299788,9.95431878987147,9.989618924859778,9.197326428360755,9.651621173870062,8.858968751712707,9.59109226877793,9.998505180164736,9.89349054938754,9.56399065909447,9.53279903904176,9.865684280476588,9.3108582589739,9.229458827020322,9.355272999440368,8.673962296898559,8.510993960420905,9.116267442526135,9.894166481731212,9.34441198963262,8.839306973478031,8.643436674101771,9.901123426413418,9.743980139396884,9.926861490052987,8.959851020978748,8.523236778820692,8.55065958651449,8.877084753409093,9.803478696971986,10.097163991880011,8.676401455045056,8.765827365241769,9.0808441163497,10.12452290621784,10.04643924623518,10.069987869933618,10.167794495893382,8.97275248356048,9.070795879468598,9.04955831124744
7,3005,theta,7.606174724364481,7.164467851834469,7.013437474125636,7.008788325985202,6.768294173097302,6.851792857678613,7.408752345265345,7.576149550422592,7.726099969915526,,,6.654742518315385,,7.754509722279498,7.321814327940281,7.060827603323773,7.345133940019286,,,,7.216246826849223,7.19780956853801,,,7.390452721066922,7.313586396947697,7.058802786169293,7.548220631476493,,,,7.302825575578005,7.2761000934631825,7.419931337097939,,,,7.120515953538155,7.453344968984767,,,,,7.325648917898218,,,,7.294422594716451,7.434032269546652,,,,7.702901417194996,,,,,,,,7.358392610836035,7.236674728277267,6.13019147705726,,,7.593423243412112,7.410168929274551,,,7.607783623716875,7.306376616006687,7.129013963933156,7.30534435513123,7.320708790713939,7.104674670282826,7.224205658360598,7.145533125732974,6.652667888512771,7.460626427303886,,7.031891681374044,7.047994353902736,6.970770853449093,6.671484581954027,7.062609496266187,7.3920119528284545,,7.017017053093277,6.9109541794415,6.73474758756479,7.005102028490859,,,7.506914015330237,6.719584817941525,6.872184149340567,,,6.719261290976416,,,,,,,,,6.798047919115427,7.555060152989825,,6.742129401792238,7.025374597649678,7.554568119912112,5.866703895003474,6.163955646552855,,6.4795980573082055,6.735763780653768,6.709019338646844,6.075310383187744,6.250739940476428,6.434488658246568,6.724289119649528,6.718720228463653,7.623868755354119,7.426260076750768,7.182052058742049,7.236064708090533
8,3006,alpha,9.36161346329566,,,,,8.219386838514836,,8.400307748880017,,,9.324404124232474,9.623540496551374,8.8826000181557,9.233240556232571,8.888098630976433,9.219674752219522,10.14538281681588,8.969651895169136,,9.107080013497818,,,9.15709492720686,9.198747851879602,8.924939661607873,8.548867128555651,9.28350978447024,9.116816813821352,9.242417631841835,9.6056197388487,8.882836334394787,8.918133549431122,9.363226674284354,9.333954028078049,9.957025351402525,8.91989616685928,9.28445064579311,9.16281175369769,9.204984374802464,9.093213280254115,9.895950003839571,9.282470928430644,9.298650839945983,9.10220389601696,9.759887759032582,9.812763996469377,9.539094604588378,8.947296088715325,8.853503134849019,9.249329335167882,9.457853418339624,9.589105877373877,9.386452697939754,9.619730760756626,10.031572080962745,10.351424261714651,9.564370906025983,9.41882231653944,10.816180335874703,10.00273174236879,9.46033784005454,9.627363107797745,10.923377164984482,10.533571443554305,9.412440712594034,9.55539267583979,9.704630152552769,10.0851272614814,9.320822539552571,10.120893987414064,9.78526183131635,8.93709435588963,9.366103667515397,9.348883740066825,9.278854061585989,9.310753762243404,9.60386332970572,9.335879788417524,9.866227705709376,9.863640988901691,9.09069436633734,9.201043803496315,9.07994831419874,9.811935910185452,9.304104369977065,9.938008546292345,9.050242045380006,8.97964496391258,9.146110123437284,9.066371249022607,9.671270024795618,9.839015155762482,9.580166387112849,9.232663113429432,9.81347027161249,9.894501743342463,10.26083488855441,10.21163832888614,9.869625019610302,10.764666105023142,10.168394660818018,10.265439186573566,9.527897308226365,9.047901089316934,8.373117665088806,9.370144168601351,10.06112697509368,10.576730180899045,10.087979464765874,,8.498891182836527,,9.055868395967831,9.913228891624415,10.261089093710382,9.367804265966097,8.977910215084217,9.124377444040014,8.247298088694757,8.734670303300398,9.351666011342603,9.33617084481638,,,8.589530566223566,8.718140556459968,9.08140534768898,9.385924217104897
9,3006,theta,,,6.917223815450322,6.495742404244737,7.215917785793118,6.874824821294253,,,7.449410832141487,6.805125083342308,6.873615828071174,6.871302205500019,7.097396057136175,6.066430212944317,6.4711332561125205,6.786923791875053,6.458366131911594,6.633603976005378,6.573933607049946,6.493433052580261,6.489177934331145,6.536314196688787,6.524937639432387,,6.9639246190548825,6.153541092571695,,,,7.261976677199829,6.967182500389226,,,,6.855904847412464,7.355011511886837,6.717690096610568,,,,6.42145970735444,7.078829286080135,,,,7.096045693898266,6.887907321606001,,4.023954729120371,,,7.61018364804668,7.462940293968052,5.6664603687638815,6.844769878119127,7.045147422074736,7.241129239804963,7.1572275232255285,,6.53576039054481,7.725620535307531,7.611104262888656,,7.350548656636016,,,6.9921844814882,,5.9706813531517975,,,6.49204274258174,,,,6.815995109987398,7.176523874383066,7.255999749861882,6.942153405520044,6.7234450280942335,,,7.32557057572547,6.907008759629681,7.291529378683294,7.178005090930668,,,7.355271706336858,6.976767139663219,6.96482147216479,6.9441174799458425,6.975579927481249,7.619682656152027,7.087622071085092,6.982100865924014,6.774575276394201,7.217890010752222,7.089292982611158,7.047649087396457,7.120883956024781,,7.215146412347658,,6.746644677616125,6.980442483610565,7.026025261940113,7.200777459299829,7.087272799848101,4.16332553819953,7.173340284361687,7.435049650969062,7.233786413527585,3.752298670800632,7.162817502011512,,7.314592660170954,,6.974244324772108,3.2250364322385314,7.242221450277233,,7.191220635369453,7.31762556539926,,6.996576798715049,,
