age,load,exp,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16
0.0,1b,wmc,0.9088335562153529,0.6978377490770981,0.5865858041894793,0.5315764406989503,0.48051797738035407,0.3826730097446707,0.23388115433320847,0.07568385414455768,-0.053901325569812274,-0.14775635264152834,-0.2169848629087325,-0.27269088856715956,-0.3210505024222349,-0.36490519306978303,-0.4055208426573527
0.0,1b,wmv,0.9851034972726296,0.778691634947853,0.6774612094945579,0.643329343617227,0.6151243324467719,0.5260457552667861,0.3675608917525852,0.19029047222906453,0.040494728687620225,-0.0710758396993796,-0.1536247142348976,-0.21807318742420978,-0.27158702009190916,-0.3181843016383337,-0.3600857130515283
0.0,2b,wmc,0.8966656979267181,0.6831567793089937,0.5705672588444037,0.5204325419725974,0.48429326879783036,0.4054227868322695,0.26357826649480076,0.09820560289146434,-0.04080321655978147,-0.13904093806999096,-0.208499712896105,-0.2630574196851781,-0.3101669822305882,-0.35287520052798194,-0.3924328734229692
0.0,2b,wmv,0.9618470548060641,0.7607804976715112,0.6629928135533416,0.6133480112308577,0.5579787822505371,0.4558825752778026,0.3033164404804767,0.13641324799337168,-0.005658372416644562,-0.11168413877920567,-0.19057856881458302,-0.25313061281287097,-0.30593625168818894,-0.35248055798182426,-0.3946678611578751
1.0,1b,wmc,0.3548991017013953,0.1789515172282326,0.08126638361845351,0.04581832403013813,0.03646449313336184,-0.00898439122285795,-0.11848554177652976,-0.25087258675240565,-0.35871536978306945,-0.43155642399585337,-0.48203747517108964,-0.52207430171231,-0.5572439796196795,-0.589531523760375,-0.6196437338499382
1.0,1b,wmv,0.25820168641575525,0.10679656586537047,0.02277693436474647,-0.015069365410050427,-0.039017745430741296,-0.09392159801242342,-0.19212124856505566,-0.3041240947720075,-0.3958564612232458,-0.46405493753801347,-0.5151296675133843,-0.555862443787129,-0.5905317597042026,-0.6213675678494774,-0.6495216825518607
1.0,2b,wmc,0.3263021739006085,0.16966184603833548,0.09788817386046576,0.08062471391194795,0.061529040794278636,-0.01205182659820318,-0.1364304142320534,-0.26860744835520084,-0.3736654662104273,-0.44888285315561527,-0.5039262325547186,-0.5474575436722826,-0.5843896441192611,-0.6172281278108815,-0.6472721596821158
1.0,2b,wmv,0.2746183072803965,0.13215806224330526,0.07484784526339322,0.07155291558717888,0.06046524334121454,-0.01951327669815509,-0.15994461018087303,-0.3002905102023689,-0.4038582357325947,-0.4737318468832953,-0.5240541918164496,-0.5642706353430619,-0.5989228495700071,-0.6300969751105331,-0.6587911256285511
